"district","phone"
"Zulia","974433019532"
"Zufar","144206758053"
"Ziguinchor","670370974122"
"Zhejiang","978430786151"
"Zhejiang","955349440539"
"Zanzibar West","706878974831"
"Ynlin","33173584456"
"Yerevan","42384721397"
"Yamaguchi","920811325222"
"Yamaguchi","18461860151"
"Xinxiang","935508855935"
"Xinxiang","790651020929"
"Wielkopolskie","701767622697"
"Western Cape","231383037471"
"West Java","63937119031"
"West Java","598912394463"
"West Java","38158430589"
"West Java","35533115997"
"West Greece","199514580428"
"West Bengali","868602816371"
"West Bengali","760171523969"
"West Bengali","745994947458"
"West Bengali","541327526474"
"West Bengali","538241037443"
"West Bengali","49677664184"
"West Bengali","480039662421"
"West Bengali","39463554936"
"West Bengali","158399646978"
"Washington","168758068397"
"Volgograd","711928348157"
"Vojvodina","698182547686"
"Virginia","976798660411"
"Vilna","107092893983"
"Veracruz","684529463244"
"Vaud","145308717464"
"Valle","610173756082"
"Vaduz","889318963672"
"Uttar Pradesh","956188728558"
"Uttar Pradesh","875756771675"
"Uttar Pradesh","869507847714"
"Uttar Pradesh","778502731092"
"Uttar Pradesh","677976133614"
"Uttar Pradesh","665993880048"
"Uttar Pradesh","627705991774"
"Uttar Pradesh","122981120653"
"Utrecht","855290087237"
"Usak","646237101779"
"Tuvassia","689199636560"
"Tutuila","478229987054"
"Tucumn","686015532180"
"Toscana","921960450089"
"Tongatapu","64536069371"
"Tokyo-to","315528269898"
"Tokyo-to","104491201771"
"Tokat","525518075499"
"Tianjin","56257502250"
"Texas","909029256431"
"Texas","860452626434"
"Texas","775235029633"
"Texas","262088367001"
"Texas","239357986667"
"Tete","817248913162"
"Tennessee","9099941466"
"Tennessee","72136330362"
"Tel Aviv","508800331065"
"Tel Aviv","177167004331"
"Tatarstan","782900030287"
"Tatarstan","705800322606"
"Tartumaa","237368926031"
"Tamil Nadu","648482415405"
"Tamil Nadu","460795526514"
"Tamil Nadu","271149517630"
"Tamil Nadu","270456873752"
"Tamil Nadu","206169448769"
"Tamaulipas","953689007081"
"Taka-Karpatia","252265130067"
"Taizz","584316724815"
"Taipei","627425618482"
"Taipei","55477302294"
"Taipei","525255540978"
"Taipei","29341849811"
"Tahiti","539758313890"
"Tahiti","347487831378"
"Tadla-Azilal","786270036240"
"Tabuk","824396883951"
"Tabora","352469351088"
"Sumy","855863906434"
"Sumy","726875628268"
"Sumy","426346224043"
"Sumqayit","834626715837"
"Sumatera Selatan","784907335610"
"Sulawesi Utara","652218196731"
"Sucre","358178933857"
"Sucre","198123170793"
"Streymoyar","46568045367"
"Steiermark","493008546874"
"Stavropol","589377568313"
"St Thomas","302526949177"
"St George","961370847344"
"Southern Tagalog","727785483194"
"Southern Tagalog","53912826864"
"Southern Tagalog","45554316010"
"Southern Tagalog","426255288071"
"Southern Tagalog","333390595558"
"Southern Tagalog","236679267178"
"Southern Mindanao","665356572025"
"Sousse","80303246192"
"Songkhla","135117278909"
"Sokoto & Kebbi & Zam","946114054231"
"Sofala","245477603573"
"So Paulo","918711376618"
"So Paulo","764680915323"
"So Paulo","704948322302"
"So Paulo","582835362905"
"So Paulo","419009857119"
"So Paulo","391065549876"
"So Paulo","241832790687"
"So Paulo","169352919175"
"Smolensk","237426099212"
"Slaskie","973047364353"
"Slaskie","867287719310"
"Slaskie","821476736117"
"Skne ln","663449333709"
"Skikda","506134035434"
"Sivas","158326114853"
"Sisilia","469738825391"
"Sind","196495945706"
"Sind","15273765306"
"Sinaloa","524567129902"
"Sichuan","464511145118"
"Sichuan","333489324603"
"Sichuan","128499386727"
"Shimane","142596392389"
"Shiga","341242939532"
"Sharja","350970907017"
"Shanxi","499408708580"
"Shanxi","276555730211"
"Shandong","746251338300"
"Shandong","509492324775"
"Shandong","383353187467"
"Shandong","338758048786"
"Shandong","268053970382"
"Shandong","211256301880"
"Shandong","203202500108"
"Shandong","189446090264"
"Shandong","170739645687"
"Shaba","900235712074"
"Severn Morava","475553436330"
"Scotland","581174211853"
"Sawhaj","129673677866"
"Sarawak","212869228936"
"Santiago","46871694740"
"Santa F","105470691550"
"Santa Catarina","90336226227"
"Sanaa","407218522294"
"Salzburg","621625204422"
"Saitama","679095087143"
"Saitama","597815221267"
"Saitama","1483365694"
"Saint-Denis","354615066969"
"Sagaing","884536620568"
"Saarland","669828224459"
"Ruse","932156667696"
"Rostov-na-Donu","812824036424"
"Roraima","697656479977"
"Risaralda","765345144779"
"Risaralda","104150372603"
"Rio Grande do Sul","876491807547"
"Rio Grande do Sul","841876514789"
"Rio Grande do Sul","380077794770"
"Rio de Janeiro","573441801529"
"Rajasthan","963063788669"
"Rajasthan","95666951770"
"Rajasthan","264541743403"
"Rajasthan","250767749542"
"Rabat-Sal-Zammour-Z","161968374323"
"Qubec","856872225376"
"QLD","6172235589"
"QLD",""
"Qina","431770603551"
"Qaraghandy","844018348565"
"Pyongyang-si","368899174225"
"Punjab","99760893676"
"Punjab","4764773857"
"Punjab","429925609431"
"Punjab","280578750435"
"Punjab","129953030512"
"Puerto Plata","491271355190"
"Puebla","48417642933"
"Provence-Alpes-Cte","449216226468"
"Ponce","62781725285"
"Pohjois-Pohjanmaa","161643343536"
"Piura","644021380889"
"Pietari","816436065431"
"Piemonte","911872220378"
"Phnom Penh","594319417514"
"Pernambuco","600264533987"
"Perak","275788967899"
"Pays de la Loire","168476538960"
"Pavlodar","896314772871"
"Paran","741070712873"
"Par","675120358494"
"Oyo & Osun","716256596301"
"Oyo & Osun","701457319790"
"Oyo & Osun","558236142492"
"Oyo & Osun","363982224739"
"Osmaniye","695479687538"
"Osaka","667736124769"
"Osaka","303967439816"
"Oriental","680768868518"
"Ontario","879347453467"
"Ontario","615964523510"
"Ontario","247646995453"
"Ondo & Ekiti","889538496300"
"Ondo & Ekiti","85059738746"
"Ondo & Ekiti","768481779568"
"Okinawa","634445428822"
"Okayama","708403338270"
"Okayama","572068624538"
"Okayama","37247325001"
"Ohio","967274728547"
"Ohio","191958435142"
"OHiggins","928809465153"
"Oaxaca","548003849552"
"Nyanza","940830176580"
"Nova Scotia","164414772677"
"Nothwest Border Prov","144453869132"
"Northern Mindanao","959834530529"
"Northern Mindanao","325526730021"
"Northern Cape","272572357893"
"Northern","359478883004"
"North West","622255216127"
"North West","328494873422"
"North Carolina","170117068815"
"North Austria","931059836497"
"Nordrhein-Westfalen","886636413768"
"Nordrhein-Westfalen","419419591240"
"Nordrhein-Westfalen","146640639760"
"Nord-Ouest","256546485220"
"Noord-Brabant","302590383819"
"Nonthaburi","471675840679"
"Nizni Novgorod","497288595103"
"Ningxia","508348602835"
"Ninawa","954786054144"
"Nghe An","638409958875"
"New Hampshire","486395999608"
"Nebraska","491001136577"
"National Capital Reg","322888976727"
"National Capital Reg","255800440636"
"Nantou","182178609211"
"Nantou","10655648674"
"Nampula","342709348083"
"Namibe","106439158941"
"Nam Ha","206060652238"
"Nakhon Sawan","175283210378"
"Nagasaki","28303384290"
"Nagano","759586584889"
"Mxico","867546627903"
"Mxico","674805712553"
"Mxico","371490777743"
"Mxico","266798132374"
"Mwanza","510383179153"
"Moskova","737229003916"
"Moskova","499352017190"
"Moskova","324346485054"
"Moskova","149981248346"
"Moscow (City)","262076994845"
"Morelos","869051782691"
"Morelos","14465669789"
"Mogiljov","338244023543"
"Miyazaki","134673576619"
"Missouri","983259819766"
"Missouri","914090181665"
"Miranda","48265851133"
"Minsk","563660187896"
"Minas Gerais","840522972766"
"Minas Gerais","410877354933"
